name,hash
BASN_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_min_capacity_100000_filter_feature_lcoe_max_75_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,9d68adee128f5277a1207eead4b11007ae5c9c1098a5eba1c0ece936d94f5cd0
BASN_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_100000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_longitude_mw_per_cluster_10000_method_agg_,3bef1f90ccae0047a65fb4a79823bd92cba2e11a1c3b154e866c9424beccacda
BASN_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,d81ca80a1dcfbd918ed2452db03f135df84b25ceee642e45478880e91ed84cc2
BASN_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,4189d0f7c56f002c3bbd8dc6350408307f125f625cd1b2c43eab78828e633ea1
BASN_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,76b57336844b87158a4c1d40f696cf233d6c4cb92142d4a7d34781ea4a9989b2
BASN_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,3735ece36cbc19976aac5a6bf1130d1c9adedc9dbfe6096ec7ea6031d4631073
CANO_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_90_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,bc38b92aa1e911fa64ee497bc7438987d75d653def9691fa2b69ae72c0370851
CANO_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_bin_feature_lcoe_weights_mw_q_5_cluster_feature_longitude_mw_per_cluster_10000_method_agg_,262f94804d859003a6bbc011cd1e8b9f74e15a2e4cf1543dada4946b90bb4324
CANO_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,0c2895b1e4be99b573d8e29cac36ca2edf5d3bea31a00f4a5c22f3733257a410
CANO_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,f60fabda472c19e07fa272fe029d90ef17ef396e5ae23397c5e3a0e98c77368c
CANO_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,8ea5bf2fecc62f59ad80322b4eab6e5b4ef81154ac899a26778e528ea82ec459
CANO_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,142c9bb0ddfd87fddb249cdd98fe4fedfd5cde4ca71d0ece50e66159803b9350
CASO_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_90_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,0245370212b4dd167a195dab4880bdcadef81382367dfcf4d3833b66728ec560
CASO_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_100000_filter_feature_lcoe_max_40_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,dbe58d3d55df13258af331b41f676a4f679bf429717d0d6b51b8341607891ab0
CASO_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,7a2d7cc54e97bd3d2c43d7026bd9b3aa4da00dd79b90c6f48d199fce82032b93
CASO_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,b13675dfe2cbafdc445b6ac92f3d24a68be04cf47c16eddcb75f06a90a53cff6
CASO_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,702d41d7e7d352960da13280d33f746d784a8cd2ba4f7bb6ec86276b2d6fc094
CASO_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,bd0ac14b47ebb6be615015599be7144538937a318567f0e2b4461208cf86bf21
FRCC_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_bin_feature_lcoe_q_4_weights_mw_cluster_feature_cf_n_clusters_3_method_agg_,cf0c3a4eb3c2abee6a5fd4339ce08ee9b0773666b0bd9b4f78406f97b8ba5aa2
FRCC_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_filter_feature_lcoe_max_40_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,834c3066a191534c88eca2af14c8ee9894dd80ae32133b9eaea24701c883038f
FRCC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,82369dff48904aba23648a80ce33c6095d05e4d5ef4c33c6223c76f7bbf9b738
FRCC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,ae6e15d91ab87df42783163c7e11d84e0135f993442aaf6b16fb6267f20793b4
FRCC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,6e9dc942eabb260c8a59e5692cd16d24894c2b71981802b0518a1aff9736e996
FRCC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,d1907afea9ab78bb6e34a48706a88248ba4b16c4a0a8e50deab0ec79b1ca27c7
ISNE_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,444b48e1edc763e491f423e3d1d804a7eb7fddb218332f5b1810ed90a5f1efcf
ISNE_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_80_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,fa626754a43fdc10e348d045156e3d9fec3a23f6cd36406f27d4a6fcb4e59245
ISNE_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,58eecf6771bed504fee13fdef78ebdbf4cdb4891cc644b3c388b2933f560543d
ISNE_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,42a09828c6ee298debfe2de82fcb472ef548af88bafac20f8d7b33f39a4f22c1
ISNE_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,5df56da50c9e31a980ba2a15ae50bba3e6105c3006b31f725f1b7ddc3224c690
ISNE_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,b58730f184282d5d3cd7a7fa0d71c1530b03204640baa0c27bedaa76615d89a3
MISC_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_150000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,2fa393133b06fa8738ea387933a037891ef14c17f19761cccaea57ac91efa706
MISC_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_80_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,8e2ec7ff4382b2ac624011482365120a192b75915633756ea5ebc31694111254
MISC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,22f9bb2aa0a6309b3c37bf58ddc631c142a8a8d6e9d4d3685f42debe0c8639da
MISC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,d26a56bc3e63ab5246b4d2a498d979d9b09175e39a2dc91059fbb3fb77c8ebe6
MISC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,c10af4ec2803ab1d9ae91832002900b49d01cb5e2385580ea547a9bfe9526538
MISC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,d4a19a4867c981bb276b8287661690315a760db55b14ecb2c03b16e0439e3389
MISE_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_bin_feature_lcoe_q_4_weights_mw_cluster_feature_cf_n_clusters_3_method_agg_,03b4340346f8b18c48f3011ff3568a98363b568c9f58b8358189b9e220c365c2
MISE_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_100000_filter_feature_lcoe_max_40_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,b1d2a22638254011747d13eab5d666ba4f9af5d3426910a709891dac2e87dc1a
MISE_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,77a7c6ebd7b24ee1b9b46a808704fe4033e6d36dd080583e44bb1596e28b1dba
MISE_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,dfbd88879842cdbf75027fc62d5a295d08f00d734ce6fe3adfa5091dec13046e
